,number,smiles,mapped_smiles,component_name,n_conformers
46,47,CCCCCCCCCO,[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])([H:25])[C:8]([H:26])([H:27])[C:9]([H:28])([H:29])[O:10][H:30],component-047,10
47,48,CNc1ccccc1,[H:15][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:16])[H:17])[N:2]([H:12])[C:1]([H:9])([H:10])[H:11])[H:13])[H:14],component-048,1
48,49,CCCCC(=O)O,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5](=[O:6])[O:7][H:17],component-049,2
49,50,CCCCCC(N)=O,[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6](=[O:8])[N:7]([H:20])[H:21],component-050,5
50,51,CC[C@H](C)O,[H:4][C@:3]([C:5]([H:12])([H:13])[H:14])([C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9])[O:6][H:15],component-051,2
51,52,CCCC(C)(C)O,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([C:5]([H:15])([H:16])[H:17])([C:6]([H:18])([H:19])[H:20])[O:7][H:21],component-052,3
52,53,CC(C)NC(C)C,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:3]([H:12])([H:13])[H:14])[N:4]([H:15])[C:5]([H:16])([C:6]([H:17])([H:18])[H:19])[C:7]([H:20])([H:21])[H:22],component-053,3
53,54,Cc1ccc(O)cc1,[H:12][c:3]1[c:4]([c:5]([c:7]([c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:16])[H:15])[O:6][H:14])[H:13],component-054,1
54,55,Cc1ccc(N)cc1,[H:12][c:3]1[c:4]([c:5]([c:7]([c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[N:6]([H:14])[H:15])[H:13],component-055,1
55,56,CN1CCN(C)CC1,[H:14][C:4]1([C:3]([N:2]([C:8]([C:7]([N:5]1[C:6]([H:16])([H:17])[H:18])([H:19])[H:20])([H:21])[H:22])[C:1]([H:9])([H:10])[H:11])([H:12])[H:13])[H:15],component-056,1
56,57,O=Cc1ccccc1O,[H:12][c:5]1[c:6]([c:7]([c:8]([c:3]([c:4]1[H:11])[C:2](=[O:1])[H:10])[O:9][H:15])[H:14])[H:13],component-057,1
57,58,Cc1cccc(O)c1,[H:13][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:14])[O:7][H:15])[H:16])[C:1]([H:9])([H:10])[H:11])[H:12],component-058,1
58,59,CC(C)CC(=O)O,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:3]([H:12])([H:13])[H:14])[C:4]([H:15])([H:16])[C:5](=[O:6])[O:7][H:17],component-059,2
59,60,OCCCc1ccccc1,[H:20][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:21])[H:22])[C:4]([H:16])([H:17])[C:3]([H:14])([H:15])[C:2]([H:12])([H:13])[O:1][H:11])[H:18])[H:19],component-060,2
60,61,CC(=O)N1CCCC1,[H:14][C:6]1([C:7]([C:8]([N:4]([C:5]1([H:12])[H:13])[C:2](=[O:3])[C:1]([H:9])([H:10])[H:11])([H:18])[H:19])([H:16])[H:17])[H:15],component-061,2
61,62,Cc1cccc(C)c1N,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[N:9]([H:19])[H:20])[C:1]([H:10])([H:11])[H:12])[H:13],component-062,1
62,63,CN(C)c1ccccc1,[H:18][c:7]1[c:6]([c:5]([c:4]([c:9]([c:8]1[H:19])[H:20])[N:2]([C:1]([H:10])([H:11])[H:12])[C:3]([H:13])([H:14])[H:15])[H:16])[H:17],component-063,2
63,64,CC[C@@H](C)CO,[H:4][C@@:3]([C:5]([H:13])([H:14])[H:15])([C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10])[C:6]([H:16])([H:17])[O:7][H:18],component-064,2
64,65,C[N+](=O)[O-],[H:5][C:1]([H:6])([H:7])[N+:2](=[O:3])[O-:4],component-065,1
65,66,CCC[C@@H](C)O,[H:5][C@@:4]([C:6]([H:15])([H:16])[H:17])([C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10])[O:7][H:18],component-066,3
66,67,Cc1cccc(C)c1O,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[O:9][H:19])[C:1]([H:10])([H:11])[H:12])[H:13],component-067,1
67,68,N#Cc1cccc(O)c1,[H:11][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:12])[O:8][H:13])[H:14])[C:2]#[N:1])[H:10],component-068,1
68,69,CCCc1ccc(O)cc1,[H:18][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:3]([H:16])([H:17])[C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[H:22])[H:21])[O:8][H:20])[H:19],component-069,4
