,component_number,conformer_number,charge_method,environment,atom_index,symbol,charge
12,33,5,atb_lowest,atb,12,H,0.421999993
13,33,5,atb_lowest,atb,13,H,0.027000003
14,33,5,atb_lowest,atb,14,H,0.027000003
15,33,5,atb_lowest,atb,15,H,0.032000003
16,33,5,atb_lowest,atb,16,H,0.032000003
17,33,5,atb_lowest,atb,17,H,0.032000003
0,33,5,resp,vacuum,0,C,-0.14457026
1,33,5,resp,vacuum,1,C,-0.006151936
2,33,5,resp,vacuum,2,C,0.222403952
3,33,5,resp,vacuum,3,O,-0.698816971
4,33,5,resp,vacuum,4,C,-0.006151936
5,33,5,resp,vacuum,5,C,-0.14457026
6,33,5,resp,vacuum,6,H,0.029591352
7,33,5,resp,vacuum,7,H,0.029591352
8,33,5,resp,vacuum,8,H,0.029591352
9,33,5,resp,vacuum,9,H,0.038664734
10,33,5,resp,vacuum,10,H,0.038664734
11,33,5,resp,vacuum,11,H,0.024645589
12,33,5,resp,vacuum,12,H,0.421004772
13,33,5,resp,vacuum,13,H,0.038664734
14,33,5,resp,vacuum,14,H,0.038664734
15,33,5,resp,vacuum,15,H,0.029591352
16,33,5,resp,vacuum,16,H,0.029591352
17,33,5,resp,vacuum,17,H,0.029591352
0,33,5,resp2,solvated,0,C,-0.270170549
1,33,5,resp2,solvated,1,C,0.003882368
2,33,5,resp2,solvated,2,C,0.172864196
3,33,5,resp2,solvated,3,O,-0.749130651
4,33,5,resp2,solvated,4,C,0.003882368
5,33,5,resp2,solvated,5,C,-0.270170549
6,33,5,resp2,solvated,6,H,0.067660146
7,33,5,resp2,solvated,7,H,0.067660146
8,33,5,resp2,solvated,8,H,0.067660146
9,33,5,resp2,solvated,9,H,0.047339403
10,33,5,resp2,solvated,10,H,0.047339403
11,33,5,resp2,solvated,11,H,0.064091757
12,33,5,resp2,solvated,12,H,0.449432573
13,33,5,resp2,solvated,13,H,0.047339403
14,33,5,resp2,solvated,14,H,0.047339403
15,33,5,resp2,solvated,15,H,0.067660146
16,33,5,resp2,solvated,16,H,0.067660146
17,33,5,resp2,solvated,17,H,0.067660146
0,33,5,resp2,vacuum,0,C,-0.301674959
1,33,5,resp2,vacuum,1,C,0.009189142
2,33,5,resp2,vacuum,2,C,0.154787341
3,33,5,resp2,vacuum,3,O,-0.645013246
4,33,5,resp2,vacuum,4,C,0.009189142
5,33,5,resp2,vacuum,5,C,-0.301674959
6,33,5,resp2,vacuum,6,H,0.072675402
7,33,5,resp2,vacuum,7,H,0.072675402
8,33,5,resp2,vacuum,8,H,0.072675402
9,33,5,resp2,vacuum,9,H,0.051037532
10,33,5,resp2,vacuum,10,H,0.051037532
11,33,5,resp2,vacuum,11,H,0.043400672
12,33,5,resp2,vacuum,12,H,0.39159433
13,33,5,resp2,vacuum,13,H,0.051037532
14,33,5,resp2,vacuum,14,H,0.051037532
15,33,5,resp2,vacuum,15,H,0.072675402
16,33,5,resp2,vacuum,16,H,0.072675402
17,33,5,resp2,vacuum,17,H,0.072675402
2646,33,5,resp2_d06,d=0.6,0,,-0.282772313
2647,33,5,resp2_d06,d=0.6,1,,0.006005078
2648,33,5,resp2_d06,d=0.6,2,,0.165633454
2649,33,5,resp2_d06,d=0.6,3,,-0.707483689
2650,33,5,resp2_d06,d=0.6,4,,0.006005078
2651,33,5,resp2_d06,d=0.6,5,,-0.282772313
2652,33,5,resp2_d06,d=0.6,6,,0.069666248
2653,33,5,resp2_d06,d=0.6,7,,0.069666248
2654,33,5,resp2_d06,d=0.6,8,,0.069666248
2655,33,5,resp2_d06,d=0.6,9,,0.048818655
2656,33,5,resp2_d06,d=0.6,10,,0.048818655
2657,33,5,resp2_d06,d=0.6,11,,0.055815323
2658,33,5,resp2_d06,d=0.6,12,,0.426297276
2659,33,5,resp2_d06,d=0.6,13,,0.048818655
2660,33,5,resp2_d06,d=0.6,14,,0.048818655
2661,33,5,resp2_d06,d=0.6,15,,0.069666248
2662,33,5,resp2_d06,d=0.6,16,,0.069666248
2663,33,5,resp2_d06,d=0.6,17,,0.069666248
0,34,0,atb_lowest,atb,0,C,0.082999996
1,34,0,atb_lowest,atb,1,C,-0.137999998
2,34,0,atb_lowest,atb,2,C,0.173999994
3,34,0,atb_lowest,atb,3,N,-0.765999974
4,34,0,atb_lowest,atb,4,C,0.173999994
5,34,0,atb_lowest,atb,5,C,-0.137999998
6,34,0,atb_lowest,atb,6,H,0.002999999
7,34,0,atb_lowest,atb,7,H,0.002999999
8,34,0,atb_lowest,atb,8,H,0.041999998
9,34,0,atb_lowest,atb,9,H,0.041999998
10,34,0,atb_lowest,atb,10,H,0.018999998
11,34,0,atb_lowest,atb,11,H,0.018999998
12,34,0,atb_lowest,atb,12,H,0.361
13,34,0,atb_lowest,atb,13,H,0.018999998
14,34,0,atb_lowest,atb,14,H,0.018999998
15,34,0,atb_lowest,atb,15,H,0.041999998
16,34,0,atb_lowest,atb,16,H,0.041999998
584,34,0,elf10,openeye,0,C,-0.07252667
585,34,0,elf10,openeye,1,C,-0.078440002
586,34,0,elf10,openeye,2,C,0.164280001
587,34,0,elf10,openeye,4,C,0.164280001
588,34,0,elf10,openeye,5,C,-0.078440002
589,34,0,elf10,openeye,6,H,0.040719999
590,34,0,elf10,openeye,7,H,0.040719999
591,34,0,elf10,openeye,8,H,0.042903332
592,34,0,elf10,openeye,9,H,0.042903332
593,34,0,elf10,openeye,10,H,0.026703332
594,34,0,elf10,openeye,11,H,0.026703332
595,34,0,elf10,openeye,12,H,0.360006669
596,34,0,elf10,openeye,13,H,0.026703332
597,34,0,elf10,openeye,14,H,0.026703332
598,34,0,elf10,openeye,15,H,0.042903332
599,34,0,elf10,openeye,16,H,0.042903332
600,34,0,elf10,openeye,3,N,-0.819026651
0,34,0,resp,vacuum,0,C,0.001597695
1,34,0,resp,vacuum,1,C,-0.01099218
2,34,0,resp,vacuum,2,C,0.113427098
3,34,0,resp,vacuum,3,N,-0.654825008
4,34,0,resp,vacuum,4,C,0.113427098
5,34,0,resp,vacuum,5,C,-0.01099218
6,34,0,resp,vacuum,6,H,0.008534067
7,34,0,resp,vacuum,7,H,0.008534067
8,34,0,resp,vacuum,8,H,0.012024469
9,34,0,resp,vacuum,9,H,0.012024469
10,34,0,resp,vacuum,10,H,0.016689538
11,34,0,resp,vacuum,11,H,0.016689538
12,34,0,resp,vacuum,12,H,0.316433314
13,34,0,resp,vacuum,13,H,0.016689538
14,34,0,resp,vacuum,14,H,0.016689538
15,34,0,resp,vacuum,15,H,0.012024469
16,34,0,resp,vacuum,16,H,0.012024469
0,34,0,resp2,solvated,0,C,0.042406753
1,34,0,resp2,solvated,1,C,-0.031457941
2,34,0,resp2,solvated,2,C,0.15891501
3,34,0,resp2,solvated,3,N,-0.821985149
4,34,0,resp2,solvated,4,C,0.15891501
5,34,0,resp2,solvated,5,C,-0.031457941
6,34,0,resp2,solvated,6,H,-0.000553927
7,34,0,resp2,solvated,7,H,-0.000553927
8,34,0,resp2,solvated,8,H,0.016045333
9,34,0,resp2,solvated,9,H,0.016045333
10,34,0,resp2,solvated,10,H,0.02078841
11,34,0,resp2,solvated,11,H,0.02078841
12,34,0,resp2,solvated,12,H,0.378437139
13,34,0,resp2,solvated,13,H,0.02078841
14,34,0,resp2,solvated,14,H,0.02078841
15,34,0,resp2,solvated,15,H,0.016045333
16,34,0,resp2,solvated,16,H,0.016045333
0,34,0,resp2,vacuum,0,C,-0.010652457
1,34,0,resp2,vacuum,1,C,-0.035948126
2,34,0,resp2,vacuum,2,C,0.10689132
3,34,0,resp2,vacuum,3,N,-0.606103822
4,34,0,resp2,vacuum,4,C,0.10689132
5,34,0,resp2,vacuum,5,C,-0.035948126
6,34,0,resp2,vacuum,6,H,0.016003756
7,34,0,resp2,vacuum,7,H,0.016003756
8,34,0,resp2,vacuum,8,H,0.021268128
9,34,0,resp2,vacuum,9,H,0.021268128
10,34,0,resp2,vacuum,10,H,0.015449825
11,34,0,resp2,vacuum,11,H,0.015449825
12,34,0,resp2,vacuum,12,H,0.295990571
13,34,0,resp2,vacuum,13,H,0.015449825
14,34,0,resp2,vacuum,14,H,0.015449825
15,34,0,resp2,vacuum,15,H,0.021268128
16,34,0,resp2,vacuum,16,H,0.021268128
2664,34,0,resp2_d06,d=0.6,0,,0.021183069
2665,34,0,resp2_d06,d=0.6,1,,-0.033254015
2666,34,0,resp2_d06,d=0.6,2,,0.138105534
2667,34,0,resp2_d06,d=0.6,3,,-0.735632618
2668,34,0,resp2_d06,d=0.6,4,,0.138105534
2669,34,0,resp2_d06,d=0.6,5,,-0.033254015
2670,34,0,resp2_d06,d=0.6,6,,0.006069146
2671,34,0,resp2_d06,d=0.6,7,,0.006069146
2672,34,0,resp2_d06,d=0.6,8,,0.018134451
2673,34,0,resp2_d06,d=0.6,9,,0.018134451
2674,34,0,resp2_d06,d=0.6,10,,0.018652976
2675,34,0,resp2_d06,d=0.6,11,,0.018652976
2676,34,0,resp2_d06,d=0.6,12,,0.345458511
2677,34,0,resp2_d06,d=0.6,13,,0.018652976
2678,34,0,resp2_d06,d=0.6,14,,0.018652976
2679,34,0,resp2_d06,d=0.6,15,,0.018134451
2680,34,0,resp2_d06,d=0.6,16,,0.018134451
0,34,1,am1bcc,openeye,0,C,-0.077280003
1,34,1,am1bcc,openeye,1,C,-0.07691
2,34,1,am1bcc,openeye,2,C,0.16232
3,34,1,am1bcc,openeye,3,N,-0.815469983
4,34,1,am1bcc,openeye,4,C,0.16232
5,34,1,am1bcc,openeye,5,C,-0.07691
6,34,1,am1bcc,openeye,6,H,0.038719997
7,34,1,am1bcc,openeye,7,H,0.038719997
8,34,1,am1bcc,openeye,8,H,0.045619999
9,34,1,am1bcc,openeye,9,H,0.045619999
10,34,1,am1bcc,openeye,10,H,0.025689997
11,34,1,am1bcc,openeye,11,H,0.025689997
12,34,1,am1bcc,openeye,12,H,0.359250006
13,34,1,am1bcc,openeye,13,H,0.025689997
14,34,1,am1bcc,openeye,14,H,0.025689997
15,34,1,am1bcc,openeye,15,H,0.045619999
16,34,1,am1bcc,openeye,16,H,0.045619999
0,34,1,atb_conformer,atb,0,C,0.082999997
1,34,1,atb_conformer,atb,1,C,-0.137999997
2,34,1,atb_conformer,atb,2,C,0.173999995
3,34,1,atb_conformer,atb,3,N,-0.765999973
4,34,1,atb_conformer,atb,4,C,0.173999995
5,34,1,atb_conformer,atb,5,C,-0.137999997
6,34,1,atb_conformer,atb,6,H,0.003
7,34,1,atb_conformer,atb,7,H,0.003
8,34,1,atb_conformer,atb,8,H,0.041999999
9,34,1,atb_conformer,atb,9,H,0.041999999
10,34,1,atb_conformer,atb,10,H,0.018999999
11,34,1,atb_conformer,atb,11,H,0.018999999
12,34,1,atb_conformer,atb,12,H,0.361000001
13,34,1,atb_conformer,atb,13,H,0.018999999
14,34,1,atb_conformer,atb,14,H,0.018999999
15,34,1,atb_conformer,atb,15,H,0.041999999
16,34,1,atb_conformer,atb,16,H,0.041999999
0,34,1,atb_lowest,atb,0,C,0.082999996
1,34,1,atb_lowest,atb,1,C,-0.137999998
2,34,1,atb_lowest,atb,2,C,0.173999994
3,34,1,atb_lowest,atb,3,N,-0.765999974
4,34,1,atb_lowest,atb,4,C,0.173999994
5,34,1,atb_lowest,atb,5,C,-0.137999998
6,34,1,atb_lowest,atb,6,H,0.002999999
7,34,1,atb_lowest,atb,7,H,0.002999999
8,34,1,atb_lowest,atb,8,H,0.041999998
9,34,1,atb_lowest,atb,9,H,0.041999998
10,34,1,atb_lowest,atb,10,H,0.018999998
11,34,1,atb_lowest,atb,11,H,0.018999998
12,34,1,atb_lowest,atb,12,H,0.361
13,34,1,atb_lowest,atb,13,H,0.018999998
14,34,1,atb_lowest,atb,14,H,0.018999998
15,34,1,atb_lowest,atb,15,H,0.041999998
16,34,1,atb_lowest,atb,16,H,0.041999998
0,34,1,resp,vacuum,0,C,0.026244149
1,34,1,resp,vacuum,1,C,0.017046375
2,34,1,resp,vacuum,2,C,0.119244775
3,34,1,resp,vacuum,3,N,-0.73139684
4,34,1,resp,vacuum,4,C,0.119244775
5,34,1,resp,vacuum,5,C,0.017046375
6,34,1,resp,vacuum,6,H,-0.017058101
7,34,1,resp,vacuum,7,H,-0.017058101
8,34,1,resp,vacuum,8,H,0.013366773
9,34,1,resp,vacuum,9,H,0.013366773
10,34,1,resp,vacuum,10,H,0.013545796
11,34,1,resp,vacuum,11,H,0.013545796
12,34,1,resp,vacuum,12,H,0.359036318
13,34,1,resp,vacuum,13,H,0.013545796
14,34,1,resp,vacuum,14,H,0.013545796
15,34,1,resp,vacuum,15,H,0.013366773
16,34,1,resp,vacuum,16,H,0.013366773
0,34,1,resp2,solvated,0,C,0.04225525
1,34,1,resp2,solvated,1,C,0.000502554
2,34,1,resp2,solvated,2,C,0.097247433
3,34,1,resp2,solvated,3,N,-0.823487636
4,34,1,resp2,solvated,4,C,0.097247433
5,34,1,resp2,solvated,5,C,0.000502554
6,34,1,resp2,solvated,6,H,-0.010723243
7,34,1,resp2,solvated,7,H,-0.010723243
8,34,1,resp2,solvated,8,H,0.017126562
9,34,1,resp2,solvated,9,H,0.017126562
10,34,1,resp2,solvated,10,H,0.035888191
11,34,1,resp2,solvated,11,H,0.035888191
12,34,1,resp2,solvated,12,H,0.395119882
13,34,1,resp2,solvated,13,H,0.035888191
14,34,1,resp2,solvated,14,H,0.035888191
15,34,1,resp2,solvated,15,H,0.017126562
16,34,1,resp2,solvated,16,H,0.017126562
0,34,1,resp2,vacuum,0,C,-0.0001556
1,34,1,resp2,vacuum,1,C,0.014852028
2,34,1,resp2,vacuum,2,C,0.112667775
3,34,1,resp2,vacuum,3,N,-0.694605687
4,34,1,resp2,vacuum,4,C,0.112667775
5,34,1,resp2,vacuum,5,C,0.014852028
6,34,1,resp2,vacuum,6,H,-0.00902122
7,34,1,resp2,vacuum,7,H,-0.00902122
8,34,1,resp2,vacuum,8,H,0.017043176
9,34,1,resp2,vacuum,9,H,0.017043176
10,34,1,resp2,vacuum,10,H,0.011319159
11,34,1,resp2,vacuum,11,H,0.011319159
12,34,1,resp2,vacuum,12,H,0.344314782
13,34,1,resp2,vacuum,13,H,0.011319159
14,34,1,resp2,vacuum,14,H,0.011319159
15,34,1,resp2,vacuum,15,H,0.017043176
16,34,1,resp2,vacuum,16,H,0.017043176
2681,34,1,resp2_d06,d=0.6,0,,0.02529091
2682,34,1,resp2_d06,d=0.6,1,,0.006242344
2683,34,1,resp2_d06,d=0.6,2,,0.10341557
2684,34,1,resp2_d06,d=0.6,3,,-0.771934857
2685,34,1,resp2_d06,d=0.6,4,,0.10341557
2686,34,1,resp2_d06,d=0.6,5,,0.006242344
2687,34,1,resp2_d06,d=0.6,6,,-0.010042434
2688,34,1,resp2_d06,d=0.6,7,,-0.010042434
2689,34,1,resp2_d06,d=0.6,8,,0.017093208
2690,34,1,resp2_d06,d=0.6,9,,0.017093208
2691,34,1,resp2_d06,d=0.6,10,,0.026060578
2692,34,1,resp2_d06,d=0.6,11,,0.026060578
2693,34,1,resp2_d06,d=0.6,12,,0.374797842
2694,34,1,resp2_d06,d=0.6,13,,0.026060578
2695,34,1,resp2_d06,d=0.6,14,,0.026060578
2696,34,1,resp2_d06,d=0.6,15,,0.017093208
2697,34,1,resp2_d06,d=0.6,16,,0.017093208
0,34,2,am1bcc,openeye,0,C,-0.069590003
1,34,2,am1bcc,openeye,1,C,-0.078730002
2,34,2,am1bcc,openeye,2,C,0.164279997
3,34,2,am1bcc,openeye,3,N,-0.819289983
4,34,2,am1bcc,openeye,4,C,0.164279997
5,34,2,am1bcc,openeye,5,C,-0.078730002
6,34,2,am1bcc,openeye,6,H,0.041960001
7,34,2,am1bcc,openeye,7,H,0.041960001
8,34,2,am1bcc,openeye,8,H,0.041280001
9,34,2,am1bcc,openeye,9,H,0.041280001
10,34,2,am1bcc,openeye,10,H,0.02703
11,34,2,am1bcc,openeye,11,H,0.02703
12,34,2,am1bcc,openeye,12,H,0.360619992
13,34,2,am1bcc,openeye,13,H,0.02703
14,34,2,am1bcc,openeye,14,H,0.02703
15,34,2,am1bcc,openeye,15,H,0.041280001
16,34,2,am1bcc,openeye,16,H,0.041280001
0,34,2,atb_conformer,atb,0,C,0.219999999
1,34,2,atb_conformer,atb,1,C,-0.188999996
2,34,2,atb_conformer,atb,2,C,0.228
3,34,2,atb_conformer,atb,3,N,-0.864000022
4,34,2,atb_conformer,atb,4,C,0.228
5,34,2,atb_conformer,atb,5,C,-0.188999996
6,34,2,atb_conformer,atb,6,H,-0.034000002
7,34,2,atb_conformer,atb,7,H,-0.034000002
8,34,2,atb_conformer,atb,8,H,0.035999998
9,34,2,atb_conformer,atb,9,H,0.035999998
10,34,2,atb_conformer,atb,10,H,0.023
11,34,2,atb_conformer,atb,11,H,0.023
12,34,2,atb_conformer,atb,12,H,0.398000002
13,34,2,atb_conformer,atb,13,H,0.023
14,34,2,atb_conformer,atb,14,H,0.023
15,34,2,atb_conformer,atb,15,H,0.035999998
16,34,2,atb_conformer,atb,16,H,0.035999998
0,34,2,atb_lowest,atb,0,C,0.018999998
1,34,2,atb_lowest,atb,1,C,-0.765999974
2,34,2,atb_lowest,atb,2,C,0.173999994
3,34,2,atb_lowest,atb,3,N,0.041999998
4,34,2,atb_lowest,atb,4,C,0.002999999
5,34,2,atb_lowest,atb,5,C,0.041999998
6,34,2,atb_lowest,atb,6,H,0.018999998
7,34,2,atb_lowest,atb,7,H,-0.137999998
8,34,2,atb_lowest,atb,8,H,0.361
9,34,2,atb_lowest,atb,9,H,0.173999994
10,34,2,atb_lowest,atb,10,H,0.018999998
11,34,2,atb_lowest,atb,11,H,0.018999998
12,34,2,atb_lowest,atb,12,H,0.041999998
13,34,2,atb_lowest,atb,13,H,0.002999999
14,34,2,atb_lowest,atb,14,H,-0.137999998
15,34,2,atb_lowest,atb,15,H,0.082999996
16,34,2,atb_lowest,atb,16,H,0.041999998
0,34,2,resp,vacuum,0,C,0.002136875
1,34,2,resp,vacuum,1,C,0.012979315
2,34,2,resp,vacuum,2,C,0.188428447
3,34,2,resp,vacuum,3,N,-0.751010511
4,34,2,resp,vacuum,4,C,0.188428447
5,34,2,resp,vacuum,5,C,0.012979315
6,34,2,resp,vacuum,6,H,0.013726166
7,34,2,resp,vacuum,7,H,0.013726166
8,34,2,resp,vacuum,8,H,-0.006300412
9,34,2,resp,vacuum,9,H,-0.006300412
10,34,2,resp,vacuum,10,H,-0.002200054
11,34,2,resp,vacuum,11,H,-0.002200054
12,34,2,resp,vacuum,12,H,0.35260764
13,34,2,resp,vacuum,13,H,-0.002200054
14,34,2,resp,vacuum,14,H,-0.002200054
15,34,2,resp,vacuum,15,H,-0.006300412
16,34,2,resp,vacuum,16,H,-0.006300412
0,34,2,resp2,solvated,0,C,0.057141134
1,34,2,resp2,solvated,1,C,-0.007619043
2,34,2,resp2,solvated,2,C,0.188589078
3,34,2,resp2,solvated,3,N,-0.874988147
4,34,2,resp2,solvated,4,C,0.188589078
5,34,2,resp2,solvated,5,C,-0.007619043
6,34,2,resp2,solvated,6,H,-0.002391242
7,34,2,resp2,solvated,7,H,-0.002391242
8,34,2,resp2,solvated,8,H,0.001157702
9,34,2,resp2,solvated,9,H,0.001157702
10,34,2,resp2,solvated,10,H,0.014109296
11,34,2,resp2,solvated,11,H,0.014109296
12,34,2,resp2,solvated,12,H,0.399621437
13,34,2,resp2,solvated,13,H,0.014109296
14,34,2,resp2,solvated,14,H,0.014109296
15,34,2,resp2,solvated,15,H,0.001157702
16,34,2,resp2,solvated,16,H,0.001157702
0,34,2,resp2,vacuum,0,C,-0.001839825
1,34,2,resp2,vacuum,1,C,0.00919091
2,34,2,resp2,vacuum,2,C,0.197646085
3,34,2,resp2,vacuum,3,N,-0.724715902
4,34,2,resp2,vacuum,4,C,0.197646085
5,34,2,resp2,vacuum,5,C,0.00919091
6,34,2,resp2,vacuum,6,H,0.016349635
7,34,2,resp2,vacuum,7,H,0.016349635
8,34,2,resp2,vacuum,8,H,-0.005855023
9,34,2,resp2,vacuum,9,H,-0.005855023
10,34,2,resp2,vacuum,10,H,-0.008819605
11,34,2,resp2,vacuum,11,H,-0.008819605
12,34,2,resp2,vacuum,12,H,0.338880976
13,34,2,resp2,vacuum,13,H,-0.008819605
14,34,2,resp2,vacuum,14,H,-0.008819605
15,34,2,resp2,vacuum,15,H,-0.005855023
16,34,2,resp2,vacuum,16,H,-0.005855023
2698,34,2,resp2_d06,d=0.6,0,,0.03354875
2699,34,2,resp2_d06,d=0.6,1,,-0.000895062
2700,34,2,resp2_d06,d=0.6,2,,0.192211881
2701,34,2,resp2_d06,d=0.6,3,,-0.814879249
2702,34,2,resp2_d06,d=0.6,4,,0.192211881
2703,34,2,resp2_d06,d=0.6,5,,-0.000895062
2704,34,2,resp2_d06,d=0.6,6,,0.005105109
2705,34,2,resp2_d06,d=0.6,7,,0.005105109
2706,34,2,resp2_d06,d=0.6,8,,-0.001647388
2707,34,2,resp2_d06,d=0.6,9,,-0.001647388
2708,34,2,resp2_d06,d=0.6,10,,0.004937735
2709,34,2,resp2_d06,d=0.6,11,,0.004937735
2710,34,2,resp2_d06,d=0.6,12,,0.375325253
2711,34,2,resp2_d06,d=0.6,13,,0.004937735
2712,34,2,resp2_d06,d=0.6,14,,0.004937735
2713,34,2,resp2_d06,d=0.6,15,,-0.001647388
2714,34,2,resp2_d06,d=0.6,16,,-0.001647388
0,34,3,am1bcc,openeye,0,C,-0.070710005
1,34,3,am1bcc,openeye,1,C,-0.079680005
2,34,3,am1bcc,openeye,2,C,0.166240005
3,34,3,am1bcc,openeye,3,N,-0.822319986
4,34,3,am1bcc,openeye,4,C,0.166240005
5,34,3,am1bcc,openeye,5,C,-0.079680005
6,34,3,am1bcc,openeye,6,H,0.04148
7,34,3,am1bcc,openeye,7,H,0.04148
8,34,3,am1bcc,openeye,8,H,0.041809997
9,34,3,am1bcc,openeye,9,H,0.041809997
10,34,3,am1bcc,openeye,10,H,0.027389998
11,34,3,am1bcc,openeye,11,H,0.027389998
12,34,3,am1bcc,openeye,12,H,0.360150008
13,34,3,am1bcc,openeye,13,H,0.027389998
14,34,3,am1bcc,openeye,14,H,0.027389998
15,34,3,am1bcc,openeye,15,H,0.041809997
16,34,3,am1bcc,openeye,16,H,0.041809997
0,34,3,atb_conformer,atb,0,C,0.216000006
1,34,3,atb_conformer,atb,1,C,-0.187000006
2,34,3,atb_conformer,atb,2,C,0.230000004
3,34,3,atb_conformer,atb,3,N,-0.865999997
4,34,3,atb_conformer,atb,4,C,0.230000004
5,34,3,atb_conformer,atb,5,C,-0.187000006
6,34,3,atb_conformer,atb,6,H,-0.033
7,34,3,atb_conformer,atb,7,H,-0.033
8,34,3,atb_conformer,atb,8,H,0.035999998
9,34,3,atb_conformer,atb,9,H,0.035999998
10,34,3,atb_conformer,atb,10,H,0.022
11,34,3,atb_conformer,atb,11,H,0.022
12,34,3,atb_conformer,atb,12,H,0.398000002
13,34,3,atb_conformer,atb,13,H,0.022
14,34,3,atb_conformer,atb,14,H,0.022
15,34,3,atb_conformer,atb,15,H,0.035999998
16,34,3,atb_conformer,atb,16,H,0.035999998
0,34,3,atb_lowest,atb,0,C,0.018999998
1,34,3,atb_lowest,atb,1,C,-0.765999974
2,34,3,atb_lowest,atb,2,C,0.173999994
3,34,3,atb_lowest,atb,3,N,0.041999998
4,34,3,atb_lowest,atb,4,C,0.002999999
5,34,3,atb_lowest,atb,5,C,0.041999998
6,34,3,atb_lowest,atb,6,H,0.018999998
7,34,3,atb_lowest,atb,7,H,-0.137999998
8,34,3,atb_lowest,atb,8,H,0.361
9,34,3,atb_lowest,atb,9,H,0.173999994
10,34,3,atb_lowest,atb,10,H,0.018999998
11,34,3,atb_lowest,atb,11,H,0.018999998
12,34,3,atb_lowest,atb,12,H,0.041999998
13,34,3,atb_lowest,atb,13,H,0.002999999
14,34,3,atb_lowest,atb,14,H,-0.137999998
15,34,3,atb_lowest,atb,15,H,0.082999996
16,34,3,atb_lowest,atb,16,H,0.041999998
0,34,3,resp,vacuum,0,C,0.002200326
1,34,3,resp,vacuum,1,C,0.010860556
2,34,3,resp,vacuum,2,C,0.157881086
3,34,3,resp,vacuum,3,N,-0.734035681
4,34,3,resp,vacuum,4,C,0.157881086
5,34,3,resp,vacuum,5,C,0.010860556
6,34,3,resp,vacuum,6,H,0.014754427
7,34,3,resp,vacuum,7,H,0.014754427
8,34,3,resp,vacuum,8,H,-0.003141552
9,34,3,resp,vacuum,9,H,-0.003141552
10,34,3,resp,vacuum,10,H,0.006485681
11,34,3,resp,vacuum,11,H,0.006485681
12,34,3,resp,vacuum,12,H,0.3514667
13,34,3,resp,vacuum,13,H,0.006485681
14,34,3,resp,vacuum,14,H,0.006485681
15,34,3,resp,vacuum,15,H,-0.003141552
16,34,3,resp,vacuum,16,H,-0.003141552
0,34,3,resp2,solvated,0,C,0.051648297
1,34,3,resp2,solvated,1,C,-0.006577449
2,34,3,resp2,solvated,2,C,0.169758673
3,34,3,resp2,solvated,3,N,-0.87125771
4,34,3,resp2,solvated,4,C,0.169758673
5,34,3,resp2,solvated,5,C,-0.006577449
6,34,3,resp2,solvated,6,H,-0.000584439
7,34,3,resp2,solvated,7,H,-0.000584439
8,34,3,resp2,solvated,8,H,0.003355023
9,34,3,resp2,solvated,9,H,0.003355023
10,34,3,resp2,solvated,10,H,0.019288698
11,34,3,resp2,solvated,11,H,0.019288698
12,34,3,resp2,solvated,12,H,0.403840959
13,34,3,resp2,solvated,13,H,0.019288698
14,34,3,resp2,solvated,14,H,0.019288698
15,34,3,resp2,solvated,15,H,0.003355023
16,34,3,resp2,solvated,16,H,0.003355023
0,34,3,resp2,vacuum,0,C,-0.001815883
1,34,3,resp2,vacuum,1,C,0.008774957
2,34,3,resp2,vacuum,2,C,0.178744862
3,34,3,resp2,vacuum,3,N,-0.720659015
4,34,3,resp2,vacuum,4,C,0.178744862
5,34,3,resp2,vacuum,5,C,0.008774957
6,34,3,resp2,vacuum,6,H,0.016549429
7,34,3,resp2,vacuum,7,H,0.016549429
8,34,3,resp2,vacuum,8,H,-0.003619689
9,34,3,resp2,vacuum,9,H,-0.003619689
10,34,3,resp2,vacuum,10,H,-0.003443051
11,34,3,resp2,vacuum,11,H,-0.003443051
12,34,3,resp2,vacuum,12,H,0.342587365
13,34,3,resp2,vacuum,13,H,-0.003443051
14,34,3,resp2,vacuum,14,H,-0.003443051
15,34,3,resp2,vacuum,15,H,-0.003619689
16,34,3,resp2,vacuum,16,H,-0.003619689
2715,34,3,resp2_d06,d=0.6,0,,0.030262625
2716,34,3,resp2_d06,d=0.6,1,,-0.000436487
2717,34,3,resp2_d06,d=0.6,2,,0.173353149
2718,34,3,resp2_d06,d=0.6,3,,-0.811018232
2719,34,3,resp2_d06,d=0.6,4,,0.173353149
2720,34,3,resp2_d06,d=0.6,5,,-0.000436487
2721,34,3,resp2_d06,d=0.6,6,,0.006269108
2722,34,3,resp2_d06,d=0.6,7,,0.006269108
2723,34,3,resp2_d06,d=0.6,8,,0.000565138
2724,34,3,resp2_d06,d=0.6,9,,0.000565138
2725,34,3,resp2_d06,d=0.6,10,,0.010195998
2726,34,3,resp2_d06,d=0.6,11,,0.010195998
2727,34,3,resp2_d06,d=0.6,12,,0.379339521
2728,34,3,resp2_d06,d=0.6,13,,0.010195998
2729,34,3,resp2_d06,d=0.6,14,,0.010195998
2730,34,3,resp2_d06,d=0.6,15,,0.000565138
2731,34,3,resp2_d06,d=0.6,16,,0.000565138
0,35,0,atb_lowest,atb,0,C,-0.237000007
1,35,0,atb_lowest,atb,1,N,-0.416000012
2,35,0,atb_lowest,atb,2,C,0.647000012
3,35,0,atb_lowest,atb,3,C,-0.509000006
